FEN,Moves
1r1q1rk1/1p1b1ppp/1b3n2/3p4/1QnP4/P1N2PP1/4N1BP/R1B2RK1 w - - 0 18,"[None, 'c3d5', 'f6d5', 'b4c4', 'f8e8', 'c4d5']"
1r1q1rk1/1p1b1ppp/1b6/3n4/1QnP4/P4PP1/4N1BP/R1B2RK1 w - - 0 19,"[None, 'b4c4', 'f8e8', 'c4d5', 'e8e2']"
1r1q1rk1/1p3ppp/1b2b3/8/3P1P2/P2Q2P1/4N1BP/R1B2nK1 w - - 0 22,"[None, 'g1f1', 'f8e8']"
r2qkbnr/pp3ppp/2n1p3/2ppP3/3P4/2P2b1P/PP2BPP1/RNBQK2R w KQkq - 0 8,"[None, 'e2f3', 'd8b6', 'd4c5', 'f8c5']"
2rq1rk1/p4ppp/1pn1p3/3pb3/NP4B1/P6P/5PP1/2RQR1K1 w - - 0 20,"[None, 'b4b5', 'd8d6', 'b5c6', 'e5f6']"
2rq1rk1/p4ppp/1p2p3/nP1pb3/N5B1/P6P/5PP1/2RQR1K1 w - - 1 21,"[None, 'c1c8', 'd8c8', 'e1e5', 'c8c4']"
3q1rk1/p4ppp/1p2p3/nP1pR3/N5B1/P6P/5PP1/2rQ2K1 w - - 0 22,"[None, 'd1c1', 'd8d7']"
5rk1/p4ppp/1p2p3/1P1p4/6B1/P1qn3P/4NPP1/4R1K1 w - - 0 27,"[None, 'e2c3', 'd3e1']"
8/p5k1/1p3p1p/1P2p1p1/Pn1pN1P1/5P1P/2rK4/3B4 w - - 1 38,"[None, 'd1c2', 'b4c2', 'd2c2', 'g7f7']"
8/p5k1/1p3p1p/1P2p1p1/P3N1P1/3n1P1P/3K4/8 w - - 0 40,"[None, 'd2d3', 'h6h5']"
r2q1rk1/pb1nbppn/1pp1p2p/4P3/2P2B2/2NB1N2/PP3PPP/R2QR1K1 w - - 1 13,"[None, 'd3h7']"
r2q1rk1/pb1nbp1n/1pp1p1pp/4P3/2P2B2/2NB1N2/PPQ2PPP/R3R1K1 w - - 0 14,"[None, 'f4h6', 'h7g5', 'f3g5', 'e7g5', 'h6f8', 'd8f8']"
r3r3/pb2bk1n/1pp1p1pB/2n1P3/2P5/2N2N2/PP1q1PPP/R3R1K1 w - - 0 19,"[None, 'f3d2', 'g6g5']"
r2qkb1r/pp2pppp/2n2n2/1B1p4/3P2b1/2N2N2/PPP2PPP/R1BQK2R w KQkq - 5 7,"[None, 'b5c6']"
2rqk2r/pp2b1pp/2n1pnp1/1B1p2B1/3P4/2N1Q2P/PPP2PP1/R3K2R w KQk - 0 13,"[None, 'g5f6', 'g7f6', 'e3e6', 'a7a6', 'b5c6']"
2rq1rk1/pp2b1p1/2n1pnpp/1B1p2B1/3P2P1/2N1Q2P/PPP2P2/2KR3R w - - 0 15,"[None, 'e3e6', 'g8h7', 'g5f6']"
2r2rk1/ppq3p1/2nbpnpp/1B1p2P1/3P3B/2N1Q2P/PPP2P2/2KR3R w - - 1 17,"[None, 'e3e6', 'g8h8', 'g5f6', 'c6b4']"
2r2r2/pp4k1/4p1pp/1B1p4/3n4/2N1q2P/PPP5/1K1RR3 b - - 1 23,"[None, 'c8c3', 'b2c3', 'e3c3', 'd1d4']"
2r2r2/pp4k1/4p1pp/1B1p4/5q2/7P/PPP1n3/1K1RR3 w - - 0 25,"[None, 'b5e2', 'f4h2']"
2r5/pp4k1/1q2p1pp/3p4/8/2P4P/PP2B3/1K1R1r2 w - - 0 28,"[None, 'e2f1', 'c8c3']"
rnbq1rk1/pppp1ppp/5n2/8/2BP4/2b2N2/PPP2PPP/R1BQ1RK1 w - - 0 8,"[None, 'b2c3', 'h7h6']"
rn1q1rk1/5ppp/p1p2n2/1p1p1bB1/3P4/2PQ1N2/P1P2PPP/1R3RK1 w - - 0 15,"[None, 'd3f5', 'd8d7']"
rn3rk1/5ppp/p1pq1n2/1p1p1QB1/3P4/2P2N2/P1P2PPP/1R3RK1 w - - 1 16,"[None, 'g5f6', 'd6f6', 'f5f6']"
r4rk1/5ppp/p1pq1n2/1p1pnQ2/3P1B2/2P5/P1P2PPP/1R3RK1 w - - 0 18,"[None, 'd4e5', 'd6d7']"
r2q1rk1/5ppp/p1p2n2/1p1pBQ2/3P4/2P5/P1P2PPP/1R3RK1 w - - 1 19,"[None, 'e5f6', 'd8f6', 'f5f6']"
r2qr1k1/5ppp/p1p2n2/1p1pBQ2/3P4/2P5/P1P2PPP/1R2R1K1 w - - 3 20,"[None, 'e5f6', 'd8f6', 'f5f6', 'g7f6', 'e1e8']"
4r1k1/6pp/p1p2q2/1P1p4/3P2Q1/8/2P1nPPP/2R3K1 w - - 2 26,"[None, 'g4e2']"
4r1k1/6pp/p1q5/3p4/3P2Q1/7P/2P1nPP1/5K2 w - - 0 29,"[None, 'g4e2', 'c6c4', 'e2c4', 'd5c4']"
6k1/6pp/p1q5/3p4/3P4/7P/2P1rPP1/5K2 w - - 0 30,"[None, 'f1e2', 'c6c2']"
r2qkbnr/pp2pppp/2n5/2ppP3/3P4/2PbB3/PP3PPP/RN1QK1NR w KQkq - 0 7,"[None, 'd1d3', 'e7e6']"
r2qkb1r/1p3ppp/p1n1p3/2PpP3/8/N1PQnN2/PP3PPP/R4RK1 w kq - 0 12,"[None, 'd3e3', 'd8a5']"
r2qk2r/1p3ppp/p1n1p3/2bpP3/8/N1P1QN2/PP3PPP/R4RK1 w kq - 0 13,"[None, 'e3c5', 'h7h5']"
1r1r2k1/5ppp/4p3/Nq2P3/7Q/1P3N2/n4PPP/2R1R2K w - - 1 27,"[None, 'a5c6', 'a2c1', 'e1c1', 'b5c6', 'c1c6', 'd8d1', 'f3g1', 'g7g6']"
